,,,,,,,,,,,,
Nome Struttura,Città,Tipologia,Valutazione,Indirizzo completo,Numero di telefono,Email di contatto,Stato Invio Mail,Contatto telefonico,Visita di Persona,Cliente Confermato,Risposta,Note/Servizi Suggeriti
Hotel Columbia Frontemare,Rimini,Hotel,3,"Viale Regina Elena, 4",0541391104,info@hotel-columbia.it,TRUE,FALSE,FALSE,FALSE,FALSE,collasso della logistica verticale e degrado strutturale
Hotel Artide,Rimini,Hotel,3,"Viale Regina Margherita, 30/A",0541312631,info@hotelartiderimini.com,TRUE,FALSE,FALSE,FALSE,FALSE,obsolescensa estetica e deficit igienico-funzionale
Hotel Suprem,Rimini,Hotel,3,"Viale Giuliano Dati, 93",0541734403,info@hotelsuprem.it,TRUE,FALSE,FALSE,FALSE,FALSE,decadimento involucro e discomfort acustico
Hotel Fellini,Rimini,Hotel,3,"Viale Rapallo, 21",3514639940,info@hotelfellinirimini.it,TRUE,TRUE,FALSE,FALSE,FALSE,deficit termico e impianti vetusti
Hotel Bologna,Rimini,Hotel,3,"Viale Tirrenia, 8",3296483812,info@hotelbolognarimini.com,TRUE,TRUE,FALSE,FALSE,FALSE,emergenza muffa e ruggine
Riviera Mare Beach Life,Rimini,Hotel,3,"Viale Giuliano Dati, 85",0541733557,info@rivieramarebeachlifehotel.com,TRUE,FALSE,FALSE,FALSE,FALSE,odori molesti e infiltrazioni
Hotel Lily,Rimini,Hotel,3,"Viale Regina Elena, 175",0541392356,lily@primehospitalitygroup.it,TRUE,FALSE,FALSE,FALSE,FALSE,crisi idraulica e sicurezza elettrica
Hotel Adria Mare,Rimini,Hotel,3,"Viale Sarsina, 4",3456601806,info@hoteladriamare.it,TRUE,TRUE,FALSE,FALSE,FALSE,space planning e insonorizzazione
Hotel Carol,Rimini,Hotel,3,"Viale Sabotino, 12",054127165,info@hotelcarol.it,FALSE,FALSE,FALSE,FALSE,FALSE,decadimento strutturale e impiantistico
Hotel Alcazar,Rimini,Hotel,3,"Viale Aretusa, 1",0541721007,info@hotelalcazar.it,FALSE,FALSE,FALSE,FALSE,FALSE,"igiene e manutenzione ""a rottura"""
Luna Hotel,Rimini,Hotel,3,"Viale Como, 6",0541014468,info@lunahotelrimini.it,TRUE,FALSE,FALSE,FALSE,FALSE,ruggine e meccanismi rotti
Hotel Laguna Blu,Rimini,Hotel,2,"Viale San Salvador, 4",0541720353,,FALSE,FALSE,FALSE,FALSE,FALSE,pericolo elettrico e strutturale
Hotel Migani,Rimini,Hotel,2,"Viale Vincenzo Monti, 7",3913095897,francescabarcellona7@gmail.com,TRUE,TRUE,FALSE,FALSE,FALSE,degrado strutturale esterno ed interno
Hotel Pecci,Rimini,Hotel,3,"Viale Brescia, 4",0541372061,hotelpeccirimini@gmail.com,FALSE,FALSE,FALSE,FALSE,FALSE,igiene e manutenzione tessile
Hotel Venus,Rimini,Hotel,3,"Viale Latina, 2",3278039641,,FALSE,TRUE,FALSE,FALSE,FALSE,
Hotel Venus,Riccione,Hotel,3,"Viale San Francesco, 14",0541641482,hvenus@libero.it,TRUE,FALSE,FALSE,FALSE,FALSE,tenuto molto bene
Hotel Aurea,Rimini,Hotel,3,"Viale Giacinto Martinelli, 7",3710113848,info@hotelaurea.it,FALSE,TRUE,FALSE,FALSE,FALSE,tenuto molto bene
Panna e Cioccolato,Riccione,Gelateria,3,"Viale Emilia, 38",0541694606,info@pannaecioccolato.net,FALSE,FALSE,FALSE,FALSE,FALSE,usura da alto traffico e deficit igienico
Bevvabè,Riccione,Bar,4,"Viale Filippo Corridoni, 37",,bevabbe.riccione@gmail.com,FALSE,FALSE,FALSE,FALSE,FALSE,corrosione salina e degrado delle finiture
Pasticceria Reale Caffetteria,Rimini,Pasticceria,3,"Viale Giuliano Dati, 47",0541738432,realeviserba@libero.it,FALSE,FALSE,FALSE,FALSE,FALSE,il peso della storia (e della polvere)
,,,0,,,,FALSE,FALSE,FALSE,FALSE,FALSE,
,,,0,,,,FALSE,FALSE,FALSE,FALSE,FALSE,
,,,0,,,,FALSE,FALSE,FALSE,FALSE,FALSE,
,,,0,,,,FALSE,FALSE,FALSE,FALSE,FALSE,
,,,0,,,,FALSE,FALSE,FALSE,FALSE,FALSE,
,,,0,,,,FALSE,FALSE,FALSE,FALSE,FALSE,
,,,0,,,,FALSE,FALSE,FALSE,FALSE,FALSE,
,,,0,,,,FALSE,FALSE,FALSE,FALSE,FALSE,
